commentDate,formattedDate,postId,postTitle,commentText,likeCount
1757668649,"2025-09-12T09:17:29.000Z",2278,"Сегодня прошел вебинар, где мы рассказали, как грамотно провести миграцию на российские решения и повысить эффективность цифровых коммуникаций в компа...","Добрый день, за лучший вопрос на встрече должны вручить мерч, как его можно получить?",0
1724314058,"2024-08-22T08:07:38.000Z",2109,"Дискуссия «Речевая аналитика в облаке: бизнес под присмотром AI»","Всем привет! Задавайте вопросы в чат, за самый лучший будет подарок.",0
1724315012,"2024-08-22T08:23:32.000Z",2109,"Дискуссия «Речевая аналитика в облаке: бизнес под присмотром AI»","Как обеспечивается безопасность и конфиденциальность данных при передаче и хранении аудиофайлов в облаке MWS? Используются ли какие-либо специфические методы шифрования или анонимизации для защиты персональных данных, особенно в медицинской сфере?",0
1724315283,"2024-08-22T08:28:03.000Z",2109,"Дискуссия «Речевая аналитика в облаке: бизнес под присмотром AI»","Спасибо за ответ)",0
1724316046,"2024-08-22T08:40:46.000Z",2109,"Дискуссия «Речевая аналитика в облаке: бизнес под присмотром AI»","А вот вы говорили, что у вас своя технология распознавания речи. О каком качестве распознавания идет речь?",0
1724316242,"2024-08-22T08:44:02.000Z",2109,"Дискуссия «Речевая аналитика в облаке: бизнес под присмотром AI»","А вот вы говорили, что у вас своя технология распознавания речи. О каком качестве распознавания идет речь?",0
1724316281,"2024-08-22T08:44:41.000Z",2109,"Дискуссия «Речевая аналитика в облаке: бизнес под присмотром AI»","Каковы основные метрики, по которым оценивается эффективность речевой аналитики? Планируется ли их расширение в будущем?",0
1724316335,"2024-08-22T08:45:35.000Z",2109,"Дискуссия «Речевая аналитика в облаке: бизнес под присмотром AI»","сколько стоит ваша речевая аналитика?",0
1724316397,"2024-08-22T08:46:37.000Z",2109,"Дискуссия «Речевая аналитика в облаке: бизнес под присмотром AI»","У нас своя CRM. Мы можем видеть там результат аналитики?",0
1724316413,"2024-08-22T08:46:53.000Z",2109,"Дискуссия «Речевая аналитика в облаке: бизнес под присмотром AI»","Сколько стоит ваша аналитика?",0
1724316443,"2024-08-22T08:47:23.000Z",2109,"Дискуссия «Речевая аналитика в облаке: бизнес под присмотром AI»","Совсем скоро, 12 сентября, поговорим на вебинаре как CDN позволяет ускорить доставку контента, распределяя его по географически разнесенным серверам.Регистрация по ссылке - https://clck.ru/3Cbfx6",0
1724316591,"2024-08-22T08:49:51.000Z",2109,"Дискуссия «Речевая аналитика в облаке: бизнес под присмотром AI»","Видим ваши вопросы, забрали",0
1724316845,"2024-08-22T08:54:05.000Z",2109,"Дискуссия «Речевая аналитика в облаке: бизнес под присмотром AI»","Расскажите (в общем) про стек технологий, используемый для создания подобных сервисов. Это открытые ресурсы? Что посоветуете для применения в российских реалиях?",0