videoId,videoTitle,commentText,likeCount,updatedAt
xLkLLdMRd8Y,"AI — эволюция облака, а не опция | Никита Казарян","Не понятно несколько моментов; в зале кто то был? Их заставили?  С одной стороны человек сыпет терминами для узких спецов, а спецам это была была была @#₽& не нужно. С другой стороны человек который хочет вкатиться в тему не будет слушать это бла бла бла, ему знания нужны. Аааа это презентация для начальства, типичная презентация для начальства",0,2025-11-12T09:03:45Z
tu9VQTwkGzc,"Очередная платформа данных. Что на этот раз? | Дмитрий Черёмухин","Ни о чем.",0,2025-11-12T16:48:26Z
ZykC5BD6RXI,"Онлайн-дискуссия «Виртуальные десктопы в облаке: как с ними работать?»","Размещать записи - это просто замечательная практика, т.к. на работе зачастую невозможно посмотреть. Благодарю, дай бог здоровья авторам и выступающим.",1,2025-08-28T15:18:39Z
_1jO2aD-VJo,"Как появилась архитектура ИБ?","Окак",0,2025-09-22T22:16:00Z
UT70fwbUses,"AI-автоматизация: как построить команду с нуля и перестать перекладывать задачи руками?","Хороший подкаст.
Anthropic не из Европы, а из США.",0,2025-08-13T14:37:00Z
e75L5tvZ8cE,"КИБЕРликБЕЗ: архитектура информационной безопасности","подкаст очень интересный

но все равно хочется прикладных разборов чтобы интереснее слушать было, а то обычно случаи взлома разбираются на конференциях какими-то скуфами которые разговаривать не умеют, и микрофон у них как из кастрюли",0,2025-07-30T17:21:19Z
e75L5tvZ8cE,"КИБЕРликБЕЗ: архитектура информационной безопасности","запишите плиз разбор взлома аэрофлота/винлаба/и всех остальных кого взламывали недавно, как его можно было бы предотвратить, обнаружить чужое присутствие в инфре, какие аудиты могли бы это выявить?

и смотреть  было бы интересно, и просмотров соберете пока еще тема живая

ну и остальному российскому бизнесу поможете, который вместо ибшников нанимает охранников которые думают что скуд = безопасность, а на пк просто касперский поставить достаточно и все

или вы прям целились в 122 просмотра за сутки?)",0,2025-07-30T17:08:51Z
wuBZnjh4OnM,"Lakehouse: почему дом данных всё время на реконструкции","Леша ты самый лучший !!!",0,2025-10-16T17:08:20Z
D6TCMyCiyjo,"Радио, телефоны и фрикинг: как развивалась  информационная безопасность?","mitm по старому)",0,2025-07-11T17:00:55Z